Date,Open,High,Low,Close,Adj Close,Volume,Categorical_Variable
3/11/2019,175.490005,179.119995,175.350006,178.899994,176.588608,32011000,1
3/12/2019,180,182.669998,179.369995,180.910004,178.572662,32467600,2
3/13/2019,182.25,183.300003,180.919998,181.710007,179.36232,31032500,3
3/14/2019,183.899994,184.100006,182.559998,183.729996,181.356216,23579500,4
3/15/2019,184.850006,187.330002,183.740005,186.119995,183.715332,39042900,5
3/18/2019,185.800003,188.389999,185.789993,188.020004,185.590805,26219800,1
3/19/2019,188.350006,188.990005,185.919998,186.529999,184.120056,31646400,2
3/20/2019,186.229996,189.490005,184.729996,188.160004,185.728989,31035200,3
3/21/2019,190.020004,196.330002,189.809998,195.089996,192.569427,51034200,4
3/22/2019,195.339996,197.690002,190.779999,191.050003,188.58165,42407700,5
3/25/2019,191.509995,191.979996,186.600006,188.740005,186.301483,43845300,1
3/26/2019,191.660004,192.880005,184.580002,186.789993,184.376678,49800500,2
3/27/2019,188.75,189.759995,186.550003,188.470001,186.034973,29848400,3
3/28/2019,188.949997,189.559998,187.529999,188.720001,186.281738,20780400,4
3/29/2019,189.830002,190.080002,188.539993,189.949997,187.495865,23564000,5
4/1/2019,191.639999,191.679993,188.380005,191.240005,188.769211,27862000,1
4/2/2019,191.089996,194.460007,191.050003,194.020004,191.51329,22765700,2
4/3/2019,193.25,196.5,193.149994,195.350006,192.826111,23271800,3
4/4/2019,194.789993,196.369995,193.139999,195.690002,193.161682,19114300,4
4/5/2019,196.449997,197.100006,195.929993,197,194.454758,18526600,5
4/8/2019,196.419998,200.229996,196.339996,200.100006,197.514709,25881700,1
4/9/2019,200.320007,202.850006,199.229996,199.5,196.92247,35768200,2
4/10/2019,198.679993,200.740005,198.179993,200.619995,198.027985,21695300,3
4/11/2019,200.850006,201,198.440002,198.949997,196.379578,20900800,4
4/12/2019,199.199997,200.139999,196.210007,198.869995,196.300613,27760700,5
4/15/2019,198.580002,199.850006,198.009995,199.229996,196.65596,17536600,1
4/16/2019,199.460007,201.369995,198.559998,199.25,196.675705,25696400,2
4/17/2019,199.539993,203.380005,198.610001,203.130005,200.505585,28906800,3
4/18/2019,203.119995,204.149994,202.520004,203.860001,201.226151,24195800,4
4/22/2019,202.830002,204.940002,202.339996,204.529999,201.887497,19439500,5
4/23/2019,204.429993,207.75,203.899994,207.479996,204.799362,23323000,1
4/24/2019,207.360001,208.479996,207.050003,207.160004,204.483505,17540600,2
4/25/2019,206.830002,207.759995,205.119995,205.279999,202.627808,18543200,3
4/26/2019,204.899994,205,202.119995,204.300003,201.660461,18649100,4
4/29/2019,204.399994,205.970001,203.860001,204.610001,201.966461,22204700,5
4/30/2019,203.059998,203.399994,199.110001,200.669998,198.077362,46534900,1
5/1/2019,209.880005,215.309998,209.229996,210.520004,207.80011,64827300,2
5/2/2019,209.839996,212.649994,208.130005,209.149994,206.4478,31996300,3
5/3/2019,210.889999,211.839996,210.229996,211.75,209.014221,20892400,4
5/6/2019,204.289993,208.839996,203.5,208.479996,205.786469,32443100,5
5/7/2019,205.880005,207.419998,200.830002,202.860001,200.239075,38763700,1
5/8/2019,201.899994,205.339996,201.75,202.899994,200.278534,26339500,2
5/9/2019,200.399994,201.679993,196.660004,200.720001,198.126709,34908600,3
5/10/2019,197.419998,198.850006,192.770004,197.179993,195.381973,41208700,4
5/13/2019,187.710007,189.479996,182.850006,185.720001,184.026489,57430600,5
5/14/2019,186.410004,189.699997,185.410004,188.660004,186.939667,36529700,1
5/15/2019,186.270004,191.75,186.020004,190.919998,189.179062,26544700,2
5/16/2019,189.910004,192.470001,188.839996,190.080002,188.346725,33031400,3
5/17/2019,186.929993,190.899994,186.759995,189,187.276581,32879100,4
5/20/2019,183.520004,184.350006,180.279999,183.089996,181.420471,38612300,5
5/21/2019,185.220001,188,184.699997,186.600006,184.898468,28364800,1
5/22/2019,184.660004,185.710007,182.550003,182.779999,181.113281,29748600,2
5/23/2019,179.800003,180.539993,177.809998,179.660004,178.021744,36529700,3
5/24/2019,180.199997,182.139999,178.619995,178.970001,177.338043,23714700,4
5/28/2019,178.919998,180.589996,177.910004,178.229996,176.604782,27948200,5
5/29/2019,176.419998,179.350006,176,177.380005,175.762527,28481200,1
5/30/2019,177.949997,179.229996,176.669998,178.300003,176.674149,21218400,2
5/31/2019,176.229996,177.990005,174.990005,175.070007,173.473602,27043600,3
6/3/2019,175.600006,177.919998,170.270004,173.300003,171.719727,40396100,4
6/4/2019,175.440002,179.830002,174.520004,179.639999,178.001923,30968000,5
6/5/2019,184.279999,184.990005,181.139999,182.539993,180.875458,29773400,1
6/6/2019,183.080002,185.470001,182.149994,185.220001,183.531036,22526300,2
